#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD973B
#Date Time: 2021-05-02 20:39:04.320
#Sample rate: 2.12766e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.3371 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: -2.9 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: -2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 2 (V)
-5.123000000000001e-05,4.058041860148324
-5.076000000000001e-05,4.058041860148324
-5.029000000000001e-05,4.054310590085016
-4.982000000000001e-05,4.058041860148324
-4.935000000000001e-05,4.058041860148324
-4.888000000000001e-05,4.058041860148324
-4.841000000000001e-05,4.058041860148324
-4.794000000000001e-05,4.058041860148324
-4.747e-05,4.054310590085016
-4.7e-05,4.050579320021706
-4.653e-05,4.050579320021706
-4.606e-05,4.050579320021706
-4.559e-05,4.054310590085016
-4.512e-05,4.058041860148324
-4.465e-05,4.054310590085016
-4.418e-05,4.054310590085016
-4.371e-05,4.050579320021706
-4.324e-05,4.046848049958397
-4.277e-05,4.050579320021706
-4.23e-05,4.054310590085016
-4.183e-05,4.050579320021706
-4.136e-05,4.050579320021706
-4.089e-05,4.050579320021706
-4.042e-05,4.050579320021706
-3.995e-05,4.054310590085016
-3.947999999999999e-05,4.050579320021706
-3.900999999999999e-05,4.046848049958397
-3.853999999999999e-05,4.043116779895088
-3.806999999999999e-05,4.043116779895088
-3.759999999999999e-05,4.039385509831778
-3.712999999999999e-05,4.035654239768469
-3.665999999999999e-05,4.035654239768469
-3.618999999999999e-05,4.043116779895088
-3.571999999999999e-05,4.046848049958397
-3.524999999999999e-05,4.046848049958397
-3.477999999999999e-05,4.043116779895088
-3.430999999999999e-05,4.043116779895088
-3.383999999999999e-05,4.043116779895088
-3.336999999999999e-05,4.046848049958397
-3.289999999999999e-05,4.046848049958397
-3.243000000000001e-05,4.050579320021706
-3.196000000000001e-05,4.046848049958397
-3.149000000000001e-05,4.039385509831778
-3.102000000000001e-05,4.035654239768469
-3.055000000000001e-05,4.039385509831778
-3.008000000000001e-05,4.039385509831778
-2.961000000000001e-05,4.043116779895088
-2.914000000000001e-05,4.039385509831778
-2.867000000000001e-05,4.035654239768469
-2.820000000000001e-05,4.028191699641851
-2.773000000000001e-05,4.03192296970516
-2.726000000000001e-05,4.035654239768469
-2.679000000000001e-05,4.035654239768469
-2.632000000000001e-05,4.03192296970516
-2.585e-05,4.03192296970516
-2.538e-05,4.03192296970516
-2.491e-05,4.035654239768469
-2.444e-05,4.035654239768469
